city_name,datetime,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant,terrestrial_radiation_instant
Quezon City,2020-01-01 10:00:00,,62.0,21.3,32.2,0.2,0.2,0.0,0.0,51.0,1017.4,1013.5,76.0,26.0,88.0,0.0,0.36,1.53,11.1,14.5,65.0,67.0,27.4,28.6,28.0,28.2,28.2,0.215,0.286,0.307,0.452,452.0,293.0,159.0,482.1,452.0,859.7,501.3,324.9,176.3,482.1,501.3,953.5
Quezon City,2020-01-01 11:00:00,30.2,59.0,21.2,32.8,0.2,0.2,0.0,0.0,51.0,1016.8,1012.9,23.0,18.0,11.0,0.0,0.42,1.76,13.1,17.9,58.0,60.0,53.3,29.9,28.1,28.2,28.2,0.216,0.286,0.307,0.452,507.0,327.0,180.0,452.5,507.0,1022.3,534.5,344.8,189.8,452.5,534.5,1077.8
Quezon City,2020-01-01 12:00:00,31.3,55.0,21.1,33.7,0.1,0.1,0.0,0.0,51.0,1015.6,1011.7,24.0,17.0,14.0,0.0,0.59,2.08,20.4,26.7,44.0,47.0,55.8,31.5,28.2,28.2,28.2,0.216,0.286,0.306,0.452,740.0,620.0,120.0,793.2,740.0,1105.7,749.1,627.6,121.5,793.2,749.1,1119.3
Quezon City,2020-01-01 13:00:00,31.5,54.0,21.0,33.7,0.0,0.0,0.0,0.0,1.0,1014.9,1011.0,42.0,18.0,13.0,61.0,0.6,2.12,21.4,28.8,44.0,47.0,59.4,32.6,28.4,28.2,28.2,0.215,0.286,0.306,0.452,752.0,639.0,113.0,818.6,752.0,1104.3,732.0,622.0,110.0,818.6,732.0,1074.9
Quezon City,2020-01-01 14:00:00,31.4,54.0,21.0,33.2,0.0,0.0,0.0,0.0,1.0,1014.6,1010.7,45.0,15.0,12.0,81.0,0.56,2.11,22.2,29.3,43.0,45.0,45.7,33.3,28.6,28.2,28.2,0.214,0.286,0.306,0.452,688.0,568.0,120.0,789.2,688.0,1018.1,640.6,528.8,111.7,789.2,640.6,947.9
Quezon City,2020-01-01 15:00:00,30.6,56.0,21.0,32.0,0.0,0.0,0.0,0.0,2.0,1014.5,1010.6,51.0,21.0,12.0,84.0,0.46,1.91,20.6,27.5,44.0,46.0,59.0,33.4,28.8,28.2,28.2,0.214,0.286,0.306,0.452,541.0,435.0,106.0,721.4,541.0,853.0,473.6,380.8,92.8,721.4,473.6,746.7
Quezon City,2020-01-01 16:00:00,29.8,59.0,21.0,31.8,0.0,0.0,0.0,0.0,1.0,1014.8,1010.9,46.0,16.0,9.0,86.0,0.32,1.72,16.3,22.1,41.0,44.0,41.8,33.0,29.0,28.2,28.2,0.213,0.286,0.306,0.452,363.0,269.0,94.0,613.4,363.0,620.3,283.9,210.4,73.5,613.4,283.9,485.1
Quezon City,2020-01-01 17:00:00,28.6,64.0,21.0,32.0,0.0,0.0,0.0,0.0,1.0,1015.3,1011.4,43.0,11.0,8.0,93.0,0.15,1.43,7.2,10.3,27.0,36.0,33.1,32.1,29.1,28.2,28.2,0.213,0.286,0.306,0.452,176.0,121.0,55.0,509.7,176.0,335.8,94.8,65.2,29.6,509.7,94.8,181.0
Quezon City,2020-01-01 18:00:00,27.4,69.0,21.3,31.4,0.0,0.0,0.0,0.0,1.0,1015.9,1012.0,38.0,11.0,2.0,89.0,0.03,1.12,3.3,9.0,6.0,37.0,15.8,30.9,29.2,28.2,28.2,0.213,0.286,0.306,0.452,18.0,8.0,10.0,79.7,18.0,80.7,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 19:00:00,26.5,73.0,21.3,30.6,0.0,0.0,0.0,0.0,1.0,1016.2,1012.3,34.0,8.0,1.0,88.0,0.0,0.93,3.3,6.5,319.0,3.0,6.5,29.7,29.2,28.2,28.2,0.214,0.286,0.306,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 20:00:00,26.0,82.0,22.7,30.8,0.0,0.0,0.0,0.0,2.0,1017.2,1013.3,79.0,75.0,19.0,0.0,0.0,0.6,3.3,6.5,347.0,354.0,10.8,30.6,29.4,28.2,28.2,0.207,0.286,0.306,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 21:00:00,25.7,84.0,22.8,30.4,0.3,0.3,0.0,0.0,51.0,1017.5,1013.6,84.0,70.0,35.0,0.0,0.0,0.54,5.0,7.0,339.0,325.0,10.4,29.5,29.4,28.2,28.2,0.21,0.286,0.306,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 22:00:00,25.3,87.0,22.9,29.9,0.3,0.3,0.0,0.0,51.0,1017.4,1013.4,7.0,0.0,11.0,0.0,0.0,0.43,5.6,8.5,320.0,306.0,11.2,28.5,29.4,28.2,28.2,0.213,0.286,0.306,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-01 23:00:00,24.8,90.0,23.0,29.9,0.0,0.0,0.0,0.0,1.0,1017.1,1013.1,24.0,24.0,4.0,0.0,0.0,0.32,3.2,6.5,297.0,270.0,10.1,27.7,29.3,28.2,28.2,0.214,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 00:00:00,24.6,92.0,23.1,29.6,0.1,0.1,0.0,0.0,51.0,1016.7,1012.7,3.0,1.0,4.0,0.0,0.0,0.26,4.0,9.2,270.0,244.0,6.5,27.1,29.2,28.2,28.2,0.214,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 01:00:00,24.2,93.0,22.9,29.0,0.0,0.0,0.0,0.0,0.0,1016.1,1012.1,3.0,3.0,1.0,0.0,0.0,0.22,4.6,10.1,288.0,270.0,8.3,26.6,29.1,28.2,28.2,0.214,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 02:00:00,23.8,93.0,22.6,28.4,0.0,0.0,0.0,0.0,1.0,1015.7,1011.7,22.0,24.0,0.0,0.0,0.0,0.2,4.2,10.1,301.0,287.0,8.3,26.1,28.9,28.2,28.2,0.214,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 03:00:00,23.6,92.0,22.2,28.0,0.0,0.0,0.0,0.0,0.0,1015.3,1011.3,13.0,14.0,1.0,0.0,0.0,0.23,4.6,9.8,309.0,298.0,8.3,25.7,28.8,28.2,28.2,0.215,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 04:00:00,23.2,92.0,21.9,27.4,0.0,0.0,0.0,0.0,0.0,1015.4,1011.4,14.0,8.0,0.0,22.0,0.0,0.22,4.6,8.6,309.0,303.0,7.9,25.4,28.7,28.2,28.2,0.215,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 05:00:00,,92.0,21.7,27.1,0.0,0.0,0.0,0.0,0.0,1016.1,1012.1,9.0,9.0,1.0,0.0,0.0,0.21,4.6,7.9,315.0,309.0,8.3,25.1,28.5,28.2,28.2,0.215,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 06:00:00,22.9,91.0,21.4,26.8,0.0,0.0,0.0,0.0,0.0,1016.6,1012.6,1.0,0.0,1.0,0.0,0.0,0.24,4.7,7.7,328.0,323.0,7.9,24.8,28.3,28.2,28.2,0.215,0.286,0.307,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 07:00:00,24.0,85.0,21.4,27.6,0.0,0.0,0.0,0.0,0.0,1017.1,1013.1,13.0,0.0,1.0,42.0,0.03,0.44,7.1,8.1,330.0,328.0,11.2,24.8,28.2,28.2,28.2,0.215,0.286,0.307,0.452,22.0,10.0,12.0,96.6,22.0,85.2,49.0,22.3,26.7,165.9,28.5,190.0
Quezon City,2020-01-02 08:00:00,26.9,71.0,21.1,30.5,0.0,0.0,0.0,0.0,0.0,1017.8,1013.9,1.0,0.0,1.0,0.0,0.13,1.04,6.0,6.6,303.0,299.0,15.8,26.9,28.1,28.2,28.2,0.209,0.287,0.307,0.452,185.0,126.0,59.0,517.5,185.0,344.4,265.0,180.5,84.5,517.5,265.0,493.4
Quezon City,2020-01-02 09:00:00,28.6,63.0,21.0,32.2,0.0,0.0,0.0,0.0,0.0,1017.7,1013.8,13.0,1.0,1.0,37.0,0.29,1.44,5.4,6.2,360.0,10.0,16.6,28.4,28.1,28.2,28.2,0.209,0.287,0.307,0.452,411.0,336.0,75.0,756.9,411.0,628.0,493.3,403.3,90.0,756.9,493.3,753.8
Quezon City,2020-01-02 10:00:00,30.5,56.0,20.7,33.1,0.0,0.0,0.0,0.0,1.0,1017.7,1013.8,22.0,2.0,1.0,67.0,0.47,1.92,12.7,16.9,45.0,50.0,28.8,30.2,28.2,28.2,28.2,0.208,0.287,0.307,0.452,598.0,512.0,86.0,842.9,598.0,859.3,663.5,568.1,95.4,842.9,663.5,953.3
Quezon City,2020-01-02 11:00:00,31.3,51.0,20.1,33.8,0.0,0.0,0.0,0.0,1.0,1016.9,1013.0,21.0,2.0,0.0,64.0,0.58,2.22,16.6,21.4,51.0,54.0,36.4,31.8,28.3,28.2,28.2,0.207,0.287,0.307,0.452,733.0,634.0,99.0,877.1,733.0,1022.5,773.1,668.7,104.4,877.1,773.1,1078.4
Quezon City,2020-01-02 12:00:00,31.8,50.0,20.1,34.4,0.0,0.0,0.0,0.0,1.0,1016.4,1012.5,32.0,8.0,5.0,74.0,0.63,2.36,-1.0,22.3,49.0,52.0,50.8,33.2,28.5,28.2,28.2,0.206,0.287,0.307,0.452,783.0,681.0,102.0,870.5,783.0,1106.6,792.9,689.6,103.3,870.5,792.9,1120.6
Quezon City,2020-01-02 13:00:00,31.8,50.0,20.2,34.3,0.0,0.0,0.0,0.0,1.0,1015.4,1011.5,34.0,8.0,4.0,83.0,0.62,2.34,17.3,22.5,47.0,49.0,49.7,34.1,28.7,28.2,28.2,0.205,0.286,0.307,0.452,762.0,648.0,114.0,828.9,762.0,1105.9,742.0,631.0,111.0,828.9,742.0,1076.9
Quezon City,2020-01-02 14:00:00,31.7,51.0,20.2,33.8,0.0,0.0,0.0,0.0,1.0,1014.7,1010.8,29.0,25.0,4.0,14.0,0.57,2.3,17.4,22.3,50.0,52.0,50.4,34.6,29.0,28.2,28.2,0.204,0.286,0.307,0.452,690.0,576.0,114.0,798.6,690.0,1020.3,642.7,536.5,106.2,798.6,642.7,950.4
Quezon City,2020-01-02 15:00:00,31.0,52.0,20.0,32.4,0.0,0.0,0.0,0.0,1.0,1014.4,1010.5,21.0,21.0,3.0,0.0,0.46,2.16,16.7,21.1,53.0,57.0,38.2,34.6,29.2,28.2,28.2,0.203,0.286,0.306,0.451,532.0,435.0,97.0,719.1,532.0,855.8,466.0,381.1,85.0,719.1,466.0,749.6
Quezon City,2020-01-02 16:00:00,30.1,55.0,20.0,31.9,0.0,0.0,0.0,0.0,0.0,1014.4,1010.5,15.0,13.0,5.0,0.0,0.33,1.94,14.1,18.2,52.0,56.0,34.9,34.1,29.4,28.3,28.2,0.203,0.286,0.306,0.451,364.0,269.0,95.0,610.4,364.0,623.4,285.1,210.7,74.4,610.4,285.1,488.3
Quezon City,2020-01-02 17:00:00,28.8,59.0,20.0,31.1,0.0,0.0,0.0,0.0,0.0,1014.8,1010.9,4.0,3.0,2.0,0.0,0.18,1.63,10.9,14.5,56.0,60.0,29.5,33.0,29.6,28.3,28.2,0.202,0.286,0.306,0.451,178.0,123.0,55.0,513.2,178.0,339.1,96.7,66.8,29.9,513.2,96.7,184.2
Quezon City,2020-01-02 18:00:00,,63.0,20.0,30.6,0.0,0.0,0.0,0.0,0.0,1015.3,1011.4,11.0,5.0,11.0,0.0,0.05,1.35,5.9,11.6,47.0,60.0,21.6,31.6,29.7,28.3,28.2,0.202,0.286,0.306,0.451,20.0,9.0,11.0,88.6,20.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 19:00:00,26.5,71.0,20.9,30.2,0.0,0.0,0.0,0.0,0.0,1015.9,1012.0,14.0,1.0,4.0,36.0,0.01,0.99,3.8,7.2,17.0,53.0,11.2,30.4,29.7,28.3,28.2,0.202,0.286,0.306,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 20:00:00,26.1,72.0,20.7,29.7,0.0,0.0,0.0,0.0,1.0,1016.4,1012.5,22.0,1.0,5.0,60.0,0.01,0.95,4.3,7.3,336.0,9.0,5.4,31.2,29.6,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 21:00:00,26.0,74.0,21.0,29.4,0.0,0.0,0.0,0.0,0.0,1017.0,1013.1,16.0,0.0,1.0,50.0,0.02,0.88,6.9,8.2,321.0,345.0,12.6,30.0,29.6,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 22:00:00,25.4,76.0,20.9,28.5,0.0,0.0,0.0,0.0,0.0,1016.9,1013.0,14.0,3.0,0.0,39.0,0.02,0.77,8.8,11.6,325.0,338.0,15.5,29.0,29.6,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-02 23:00:00,24.8,76.0,20.3,27.8,0.0,0.0,0.0,0.0,0.0,1016.6,1012.6,8.0,7.0,0.0,5.0,0.02,0.75,7.4,9.7,313.0,321.0,15.8,28.2,29.5,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 00:00:00,24.1,79.0,20.2,27.4,0.0,0.0,0.0,0.0,0.0,1016.3,1012.3,7.0,2.0,0.0,16.0,0.0,0.63,4.6,5.8,321.0,292.0,13.0,27.5,29.4,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 01:00:00,23.6,81.0,20.1,26.6,0.0,0.0,0.0,0.0,1.0,1015.7,1011.7,27.0,3.0,0.0,82.0,0.01,0.56,6.0,8.4,335.0,313.0,9.7,26.8,29.3,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 02:00:00,23.4,81.0,19.9,25.6,0.0,0.0,0.0,0.0,1.0,1014.9,1010.9,31.0,2.0,1.0,95.0,0.02,0.55,10.6,17.4,336.0,326.0,18.4,26.3,29.2,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 03:00:00,23.3,81.0,19.9,25.9,0.0,0.0,0.0,0.0,1.0,1014.6,1010.6,34.0,4.0,1.0,100.0,0.01,0.54,8.7,14.5,336.0,330.0,19.8,26.0,29.0,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 04:00:00,22.6,85.0,19.9,25.8,0.0,0.0,0.0,0.0,1.0,1015.3,1011.3,44.0,16.0,0.0,98.0,0.0,0.41,4.1,5.4,345.0,290.0,15.1,25.5,28.9,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 05:00:00,23.1,82.0,19.8,26.0,0.0,0.0,0.0,0.0,1.0,1015.1,1011.1,31.0,1.0,0.0,100.0,0.0,0.52,5.9,10.4,322.0,284.0,10.4,25.3,28.7,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 06:00:00,22.7,83.0,19.7,25.3,0.0,0.0,0.0,0.0,1.0,1015.8,1011.8,40.0,11.0,0.0,99.0,0.01,0.46,7.9,15.6,321.0,293.0,13.0,25.0,28.6,28.3,28.2,0.203,0.286,0.305,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 07:00:00,23.4,79.0,19.7,25.5,0.0,0.0,0.0,0.0,1.0,1015.9,1011.9,31.0,1.0,0.0,100.0,0.05,0.59,11.5,17.7,328.0,309.0,19.8,25.0,28.4,28.3,28.2,0.202,0.286,0.305,0.451,16.0,3.0,13.0,29.1,16.0,84.3,35.7,6.7,29.0,50.3,20.7,188.2
Quezon City,2020-01-03 08:00:00,25.4,70.0,19.6,28.4,0.0,0.0,0.0,0.0,1.0,1016.5,1012.6,34.0,4.0,0.0,100.0,0.12,0.96,4.9,6.6,324.0,283.0,20.2,26.6,28.2,28.3,28.2,0.2,0.285,0.304,0.451,163.0,74.0,89.0,305.3,163.0,342.8,234.0,106.2,127.7,305.3,234.0,492.1
Quezon City,2020-01-03 09:00:00,27.2,63.0,19.5,29.9,0.0,0.0,0.0,0.0,1.0,1016.6,1012.7,33.0,3.0,0.0,100.0,0.27,1.35,6.2,7.4,234.0,223.0,19.4,28.0,28.2,28.3,28.2,0.2,0.284,0.304,0.451,377.0,249.0,128.0,561.8,377.0,626.9,452.8,299.1,153.8,561.8,452.8,753.1
Quezon City,2020-01-03 10:00:00,,53.0,18.8,32.2,0.0,0.0,0.0,0.0,2.0,1016.8,1012.9,54.0,31.0,0.0,88.0,0.43,1.95,5.5,7.2,67.0,72.0,18.4,30.0,28.2,28.3,28.2,0.199,0.284,0.304,0.451,588.0,473.0,115.0,779.1,588.0,858.9,652.6,525.0,127.6,779.1,652.6,953.3
Quezon City,2020-01-03 11:00:00,31.0,46.0,17.9,33.6,0.0,0.0,0.0,0.0,1.0,1016.1,1012.2,34.0,8.0,1.0,87.0,0.56,2.44,9.5,12.3,65.0,69.0,25.2,32.0,28.4,28.3,28.2,0.199,0.284,0.304,0.451,729.0,610.0,119.0,843.6,729.0,1022.8,769.1,643.6,125.5,843.6,769.1,1079.1
Quezon City,2020-01-03 12:00:00,31.6,42.0,17.3,33.5,0.0,0.0,0.0,0.0,1.0,1015.0,1011.1,21.0,2.0,1.0,61.0,0.63,2.68,13.4,17.1,63.0,65.0,31.3,33.5,28.5,28.3,28.2,0.198,0.284,0.303,0.451,782.0,632.0,150.0,807.1,782.0,1107.7,792.1,640.2,151.9,807.1,792.1,1122.0
Quezon City,2020-01-03 13:00:00,31.8,42.0,17.4,33.5,0.0,0.0,0.0,0.0,1.0,1013.9,1010.0,21.0,1.0,1.0,65.0,0.66,2.7,15.8,20.6,69.0,71.0,35.6,34.6,28.8,28.3,28.2,0.197,0.284,0.303,0.451,818.0,723.0,95.0,923.4,818.0,1107.6,796.8,704.3,92.5,923.4,796.8,1079.0
Quezon City,2020-01-03 14:00:00,31.3,45.0,17.8,32.8,0.0,0.0,0.0,0.0,1.0,1013.3,1009.4,23.0,2.0,1.0,70.0,0.6,2.54,-1.0,20.3,63.0,65.0,36.0,35.2,29.0,28.3,28.2,0.196,0.284,0.303,0.451,739.0,642.0,97.0,888.0,739.0,1022.7,688.7,598.3,90.4,888.0,688.7,953.0
Quezon City,2020-01-03 15:00:00,30.8,46.0,18.0,31.7,0.0,0.0,0.0,0.0,0.0,1013.3,1009.4,17.0,5.0,1.0,40.0,0.5,2.37,15.2,19.8,59.0,61.0,35.3,35.2,29.3,28.3,28.2,0.196,0.284,0.303,0.451,603.0,510.0,93.0,840.3,603.0,858.6,528.6,447.1,81.5,840.3,528.6,752.6
Quezon City,2020-01-03 16:00:00,29.6,50.0,18.2,30.8,0.0,0.0,0.0,0.0,0.0,1013.6,1009.7,5.0,1.0,1.0,12.0,0.35,2.06,12.8,16.6,52.0,56.0,33.5,34.6,29.5,28.3,28.2,0.196,0.284,0.303,0.451,412.0,335.0,77.0,756.4,412.0,626.5,323.2,262.8,60.4,756.4,323.2,491.6
Quezon City,2020-01-03 17:00:00,28.3,55.0,18.4,30.0,0.0,0.0,0.0,0.0,0.0,1014.0,1010.1,4.0,2.0,1.0,6.0,0.17,1.72,9.2,12.1,31.0,37.0,28.1,33.4,29.7,28.3,28.2,0.195,0.284,0.303,0.451,192.0,140.0,52.0,578.5,192.0,342.4,105.2,76.7,28.5,578.5,105.2,187.5
Quezon City,2020-01-03 18:00:00,26.8,62.0,18.8,29.2,0.0,0.0,0.0,0.0,0.0,1014.3,1010.4,9.0,3.0,1.0,19.0,0.05,1.35,5.4,9.6,8.0,34.0,19.4,31.8,29.8,28.3,28.2,0.195,0.284,0.303,0.451,22.0,11.0,11.0,107.1,22.0,84.1,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 19:00:00,25.8,67.0,19.1,28.7,0.0,0.0,0.0,0.0,0.0,1014.8,1010.9,1.0,0.0,1.0,1.0,0.01,1.1,3.7,6.8,349.0,32.0,10.8,30.4,29.8,28.3,28.2,0.195,0.284,0.303,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon City,2020-01-03 20:00:00,24.9,67.0,18.3,27.6,0.0,0.0,0.0,0.0,0.0,1015.2,1011.3,10.0,0.0,0.0,35.0,0.0,1.05,2.2,0.4,270.0,180.0,7.9,30.6,29.8,28.3,28.2,0.193,0.282,0.302,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
